year,imdb,title
2011,tt1625346,Young Adult
2011,tt1742336,Your Sister&#39;s Sister
2010,tt1542344,127 Hours
2010,tt1014759,Alice in Wonderland
2010,tt1313092,Animal Kingdom
2010,tt1431181,Another Year
2010,tt1423894,Barney&#39;s Version
2010,tt1532503,Beginners
2010,tt1164999,Biutiful
2010,tt0947798,Black Swan
2010,tt1120985,Blue Valentine
2010,tt1126591,Burlesque
2010,tt1194417,Casino Jack
2010,tt1020558,Centurion
2010,tt1438254,Charlie St. Cloud
2010,tt0800320,Clash of the Titans
2010,tt1244754,Conviction
2010,tt1385867,Cop Out
2010,tt1555064,Country Strong
2010,tt1336617,Cyrus
2010,tt1279935,Date Night
2010,tt0989757,Dear John
2010,tt1323594,Despicable Me
2010,tt1314655,Devil
2010,tt1196141,Diary of a Wimpy Kid
2010,tt0427152,Dinner for Schmucks
2010,tt1270761,Don&#39;t Be Afraid of the Dark
2010,tt1231583,Due Date
2010,tt1013860,Dylan Dog: Dead of Night
2010,tt1282140,Easy A
2010,tt0879870,"Eat, Pray, Love"
2010,tt1226273,Edge of Darkness
2010,tt1531663,Everything Must Go
2010,tt0977855,Fair Game
2010,tt1433108,Faster
2010,tt1405500,For Colored Girls
2010,tt1323045,Frozen
2010,tt1226229,Get Him To The Greek
2010,tt1322312,Going the Distance
2010,tt0947810,Green Zone
2010,tt1375670,Grown Ups
2010,tt1376195,Gunless
2010,tt0926084,Harry Potter and the Deathly Hallows: Part 1
2010,tt1231587,Hot Tub Time Machine
2010,tt0892769,How to Train Your Dragon
2010,tt1226236,I Am Love
2010,tt1375666,Inception
2010,tt1591095,Insidious
2010,tt1228705,Iron Man 2
2010,tt0804497,It&#39;s Kind of a Funny Story
2010,tt1250777,Kick-Ass
2010,tt1013743,Knight and Day
2010,tt1038686,Legion
2010,tt1228987,Let Me In
2010,tt0892318,Letters to Juliet
2010,tt0758752,Love and Other Drugs
2010,tt0985694,Machete
2010,tt1371155,Made In Dagenham
2010,tt1518812,Meek&#39;s Cutoff
2010,tt1001526,Megamind
2010,tt1470827,Monsters
2010,tt1126618,Morning Glory
2010,tt1415283,Nanny McPhee and the Big Bang
2010,tt1334260,Never Let Me Go
2010,tt1536044,Paranormal Activity 2
2010,tt0814255,Percy Jackson &amp; the Olympians: The Lightning Thief
2010,tt0878835,Please Give
2010,tt1424381,Predators
2010,tt0473075,Prince of Persia: The Sands of Time
2010,tt0935075,Rabbit Hole
2010,tt0493949,Ramona and Beezus
2010,tt1245526,Red
2010,tt1403981,Remember Me
2010,tt1053424,Repo Men
2010,tt0955308,Robin Hood
2010,tt0944835,Salt
2010,tt0446029,Scott Pilgrim vs. the World
2010,tt1028576,Secretariat
2010,tt1261945,Sex and the city 2
2010,tt0892791,Shrek Forever After
2010,tt1130884,Shutter Island
2010,tt1564585,Skyline
2010,tt1421051,Somewhere
2010,tt1440292,Submarine
2010,tt1512235,Super
2010,tt1135084,Takers
2010,tt0398286,Tangled
2010,tt0429493,The A-Team
2010,tt1212436,The Back-up Plan
2010,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader
2010,tt0968264,The Conspirator
2010,tt0455407,The Crazies
2010,tt1226753,The Debt
2010,tt1320253,The Expendables
2010,tt0964517,The Fighter
2010,tt1139328,The Ghost Writer
2010,tt0775489,The Illusionist
2010,tt1155076,The Karate Kid
2010,tt0842926,The Kids Are All Right
2010,tt0954947,The Killer Inside Me
2010,tt1504320,The King&#39;s Speech
2010,tt0938283,The Last Airbender
2010,tt1320244,The Last Exorcism
2010,tt0480255,The Losers
2010,tt1458175,The Next Three Days
2010,tt1386588,The Other Guys
2010,tt1017451,The Runaways
2010,tt1285016,The Social Network
2010,tt0963966,The Sorcerer&#39;s Apprentice
2010,tt1273678,The Spy Next Door
2010,tt0889573,The Switch
2010,tt1274300,The Tempest
2010,tt1243957,The Tourist
2010,tt0840361,The Town
2010,tt1325004,The Twilight Saga: Eclipse
2010,tt0780653,The Wolfman
2010,tt1570989,Tiny Furniture
2010,tt0435761,Toy Story 3
2010,tt1104001,Tron Legacy
2010,tt1403865,True Grit
2010,tt1465522,Tucker and Dale vs Evil
2010,tt0477080,Unstoppable
